word,weight
advance,0.3023113415826943
advanced,0.4209108063072387
advantage,-0.0325759769939176
adventure,0.1829740366534523
advert,-1.6643513986052358
advertise,-1.7272326516649927
advertisement,-2.5372916068047813
advertiser,-0.211914505741087
advertising,-2.703428350732238
advice,-0.3652084526575263
advise,-0.4422120627308575
aesthetic,0.5376655904115081
af,-0.8812579198819572
affair,0.37955417328320945
affect,-0.7735477779075687
afford,0.13433259970326944
affordable,0.9634181183031229
africa,-0.10006314210951607
african,0.47794218178782777
agar,0.2628563574254459
age,-0.6410117653704961
agency,0.07491090943440046
agenda,-1.1495824457362043
agent,0.12183571397745437
aggravating,-0.807136799062132
aggregate,-0.3266185751366946
aggregator,0.24506360241536437
aggressive,-1.254229376850049
ago,-0.6143759053855685
ago get,-0.012997389327986704
ago not,-0.37711796761109334
agree,0.6271595991757202
ah,-0.3426707424046064
ahead,1.0541025766843901
ahh,-1.2782157547240893
ahmad,0.7199523523571968
ahold,0.17324934929688968
ai,-1.8659518581508654
ai bot,-0.28707756126962164
ai button,-0.5533820392805923
ai chat,0.27804838664414044
ai dj,0.1792749817641629
ai feature,-0.23137775634802413
ai generate,-0.6521635303994547
ai music,-1.053011822012011
ai not,-0.06637612863385368
ai slop,-1.316684733475181
aid,0.1992055875561024
aight,-0.04872111426648767
aim,0.2420504207774781
air,-0.17366571598794983
aja,-1.1091868929779112
ak,-0.8023928326491653
aka,-0.8733313843009303
ako,0.07013271627223883
akong,0.21282414770213237
aku,0.11406655461361874
akun,-1.8527259188042202
al,-0.24510920339676429
album,-0.30177081809273976
alert,-0.058477409507762326
algorithm,-0.6182571296779856
algorithm not,0.17383373567095026
alhamdulillah,0.3186462211731154
ali,0.6861764044561991
align,0.22751075362506576
alive,0.10790797262851638
allah,0.9466055905181879
allow,-1.9154885995140456
allow access,0.5839256288693501
allow add,-0.8817904903140332
allow app,-0.4252198736839257
allow change,-0.36772706069615474
allow download,-0.52360391171819
allow log,-0.47407052558081847
allow login,-0.3112051416415583
allow people,-0.14985133609820456
allow play,0.04312557032777215
allow send,0.8258055275492924
allow sign,-0.35222104792587283
allow use,-0.09361790458491824
allow user,-0.19518464240747854
alot,-0.26508892134870443
aloud,-0.2529081879132713
alright,0.255412973879716
alternative,-1.0095850877948076
altogether,-0.06810408101766936
aman,-0.13408651932222426
amar,0.5618941149192852
amazed,0.5417959878331857
amazing,2.89975810872956
amazing aap,-0.014960398258358673
amazing app,1.2654440541817749
amazing application,0.5231824570554294
amazing experience,1.038863677001947
amazing feature,0.2892962379059426
amazing game,-0.1498823592032568
amazing good,0.5521927136799244
amazing like,0.03927872753766404
amazing love,0.39578469588250503
amazing not,0.872615949346096
amazing platform,0.15693747865689212
amazing work,0.6538487509743787
amazingly,0.5233748555104789
amazon,-0.3036828158447706
amazon prime,0.4030271372007074
amd,0.14716354031432885
amen,1.014313054878923
america,-0.38306084580231087
american,-0.7364210129836437
ameze,1.5160025319555026
ami,0.11270393110784994
amount,-0.44352336422087046
ancient,0.33380936497669494
andor,0.026525396153406083
android,-0.9333996230070549
android app,-0.897395442047073
android auto,-0.5727067104709544
android device,-0.4889373647116434
android io,-0.1715149696716835
android iphone,0.10294057032106115
android mobile,-0.5801132536148069
android not,-0.08643031405584861
android phone,0.9039893823391987
android tablet,-0.13815389514415752
android tv,0.1374406230807802
android update,0.05417513991630548
android user,-0.3096860334352129
android version,-0.331831978084746
aneh,-0.9174850328121243
ang,-0.07141478210319516
ang ganda,1.072434763153711
ang mga,0.31433695488147056
angle,-0.17153899591427543
angle android,-0.06905958096535418
angle camera,0.2491755010802817
angry,-0.8095965335636509
animal,-0.27443815919955966
animate,-0.11355535891136424
animation,-0.15008411485025808
anime,0.20054708023931606
announce,-0.3297518070154107
announcement,-0.3823849022398291
annoy,-1.650769045145887
annoyance,-0.19934999161670353
annoyed,-0.36983875651620884
annoying,-3.0123522599076065
annoying ad,0.6001118868650487
annoying add,-0.45714240033175907
annoying app,0.14817432400556613
annoying bug,0.08327103944861042
annoying fix,0.3229855688604231
annoying not,-0.39328245910623616
annoying thing,0.558867661648615
annoying use,-0.23513001700477332
annual,-0.22050528485176865
answer,-1.0465286207070539
anti,-1.0644067869577298
anuncio,-0.6504486655950052
anxiety,0.16808431562233847
anybody,0.007152867097715682
anymore,-3.6406708064074715
anymore app,-0.15349892049041927
anymore not,0.16262930989553667
